,Name,Mileage,Price,Dealer Name,Link
0,2021 Audi Q5 e 55 Premium,"11,837 mi.","$52,492",Emich VW of Boulder,/vehicledetail/2a62165e-f464-4c56-885f-fb514acb3b1d/
1,2017 Lexus IS 200t Base,"44,904 mi.","$28,900",Audi Modesto,/vehicledetail/6942c51b-c26c-4614-97f1-acb0b7517b82/
2,2021 Lincoln Corsair Reserve,"7,877 mi.","$43,797",Roberts Auto Sales,/vehicledetail/e575219a-90fa-4a95-ade5-d2740e746cd0/
3,2021 Hyundai IONIQ Hybrid SE,"19,500 mi.","$26,997",Roberts Auto Sales,/vehicledetail/716b65ec-3abd-42e4-b19b-9024d2ad58f1/
4,2021 GMC Yukon XL Denali,"29,274 mi.","$74,888",Bonander Buick GMC,/vehicledetail/475045f6-142a-440f-80e7-2c3ae289fee2/
5,2007 Chevrolet Silverado 1500 ,"121,887 mi.","$12,688",Hilmar Auto Depot,/vehicledetail/56080319-0bb9-49e0-8758-24f58d0d5d76/
6,2017 Audi A3 2.0T Premium Plus,"59,417 mi.","$29,999",BabaCars,/vehicledetail/2baf72df-5215-4f46-98b6-9112b146e436/
7,2020 Cadillac CT5 Sport RWD,"9,848 mi.","$44,939",Mataga Buick GMC Cadillac,/vehicledetail/4159431a-1051-4846-91d9-5c0db6794da3/
8,2020 Cadillac Escalade ESV Platinum,"58,423 mi.","$62,789",Merced Chevrolet,/vehicledetail/91dbd129-4e69-4b88-9662-168dbf29fe2c/
9,2014 Toyota Sienna XLE,"139,871 mi.","$18,900",Porsche Livermore,/vehicledetail/a47ea639-035c-443f-90e4-cd245ff1fe9f/
10,2018 Nissan Titan S,"24,398 mi.","$36,998",CarMax Pleasanton - Now offering Curbside Pickup and Home Delivery,/vehicledetail/d7d82ea7-58f7-4eb2-9947-f5df15aab650/
11,2009 Mercedes-Benz S-Class S 550 4MATIC,"84,760 mi.","$16,981",Mercedes-Benz of San Jose,/vehicledetail/6d4c0bd8-78e3-4f02-809c-fcd1974c9db9/
12,2021 Mercedes-Benz CLS 450 Base,"15,842 mi.","$68,995",Mercedes-Benz of San Jose,/vehicledetail/065d6334-9d88-4003-b1f1-4a484d522838/
13,2013 Nissan 370Z NISMO,"48,000 mi.","$30,609",TRED Private Seller (San Jose),/vehicledetail/e207af1c-1b7f-4573-a0c7-551410bd8c24/
14,2019 Kia K900 Luxury,"20,897 mi.","$44,500",Capitol Kia,/vehicledetail/2201454d-7aaa-4e7a-91eb-51dc93264dab/
15,2022 BMW 530e 530e,"9,135 mi.","$58,998",CarMax Capitol Expressway - Now offering Curbside Pickup and Home Delivery,/vehicledetail/1fde992c-ec5f-47c8-a947-2c782c26ae37/
16,2022 Toyota Avalon XLE,684 mi.,"$42,820",Shottenkirk Toyota of Granbury,/vehicledetail/91a6869a-ee59-473d-949c-22afc3a53d99/
17,2022 Ford Bronco Badlands,91 mi.,"$79,988",Maxwell Ford,/vehicledetail/3afae0c1-88c1-4cd8-ba0f-67a9b33ec7ec/
18,2022 Lexus IS 350 F Sport,"6,047 mi.",Not Priced,Sterling McCall Lexus Clear Lake,/vehicledetail/fdbb6d99-c7a0-4ec4-bb97-443e259f585d/
19,2021 Acura RDX A-Spec,"14,060 mi.","$46,991",Nalley Acura,/vehicledetail/53312813-d53f-4173-95a7-58a14d47df32/
20,2022 Buick Encore Preferred,3 mi.,"$23,950",Impex Chevrolet GMC Buick,/vehicledetail/c9ba9f59-c51f-402f-8398-f5266d1d5592/
21,2018 Porsche Panamera Sport Turismo 4S,"36,792 mi.","$84,880",Porsche Minneapolis,/vehicledetail/1b739d0c-67b9-4eda-80d1-9ded8b6a5b5d/
22,2016 Cadillac ATS 2.0L Turbo,"63,882 mi.","$19,994",Audi Fremont,/vehicledetail/5affb589-76a7-4b43-aa4a-8e8226cd08f3/
23,2012 BMW X3 xDrive28i,"57,492 mi.","$15,887",BMW of Fremont,/vehicledetail/7d42ba26-610d-4dbb-bceb-b8ffec14decc/
24,2021 Acura TLX A-Spec,"11,045 mi.","$41,953",Fletcher Jones Motorcars of Fremont,/vehicledetail/9fd4b6c6-955c-4c31-89c0-9e81b3ad0e57/
25,2022 GMC Canyon Elevation Standard,"9,916 mi.","$32,490",Capitol Buick GMC,/vehicledetail/7aae6262-9eeb-401f-b420-9f06994c8a01/
26,2014 Chevrolet Express 2500 Work Van,"92,112 mi.","$20,995",Elias Motors,/vehicledetail/cd05f041-d2f3-4028-90e8-0779f597adcf/
27,2021 Subaru Legacy Premium,"40,046 mi.","$25,022",Hertz Car Sales Hayward,/vehicledetail/95b04e7c-ab6a-43e4-abbf-ce41ee284e2d/
28,2020 Hyundai IONIQ Hybrid Limited,"25,672 mi.","$27,999",Stevens Creek BMW,/vehicledetail/a8721eef-f345-4a7e-a8f5-381114e233b1/
29,2022 Mazda CX-9 Carbon Edition,"2,221 mi.","$42,540",Stevens Creek Mazda,/vehicledetail/4a6289c6-0839-4a03-9fef-26807e802519/
30,2011 Maserati Quattroporte S,"74,064 mi.","$19,955",Mercedes-Benz of Stevens Creek,/vehicledetail/cbfa964b-8da3-4f5f-89ad-20f91f8d8df7/
31,2014 Honda Accord EX-L,"113,233 mi.","$16,500",Shift Sacramento - Online,/vehicledetail/0a14a479-d546-4491-acd3-503b0d9169cf/
32,2015 Subaru Legacy 2.5i Limited,"87,672 mi.","$16,950",Shift Sacramento - Online,/vehicledetail/346076c2-ffb5-48c6-a83b-838c8ec6a6e6/
33,2016 Lexus RX 450h F Sport,"74,172 mi.","$37,950",Shift Sacramento - Online,/vehicledetail/42739697-ef9a-46f8-b6b9-7c6f4feebe9d/
34,2010 Honda CR-V LX,"149,772 mi.","$11,950",Shift Sacramento - Online,/vehicledetail/a6207999-2abe-4794-91a7-2f7615350348/
35,2013 Audi Q7 3.0T Premium Plus,"69,613 mi.","$17,950",Shift Sacramento - Online,/vehicledetail/85438654-67e6-4ddd-94a7-b911d482ea3e/
36,2016 Kia Soul +,"100,750 mi.","$13,950",Shift Sacramento - Online,/vehicledetail/cf2be49e-d59c-4b9a-ac4b-fe4cc2fdb392/
37,2020 Ford Shelby GT500 Base,"6,947 mi.","$89,888","Calidad Motors, Inc",/vehicledetail/98de25e3-b9a3-4e7e-bfe6-ace60302f6ed/
38,2022 Mercedes-Benz GLE 450 AWD 4MATIC,"17,500 mi.","$70,865",Elk Grove Hyundai,/vehicledetail/aee604ea-8301-4996-bd62-bab79e47760c/
39,2014 Subaru BRZ Limited,"44,355 mi.","$22,500",Toyota Walnut Creek,/vehicledetail/8023a01f-94a1-47b8-bb5d-27b3b36a3296/
40,2011 Land Rover LR4 Base,"69,401 mi.","$19,995",MAG Motor Company,/vehicledetail/d9bdc724-6ade-4b93-89bb-c62822e9d71a/
41,2020 Mercedes-Benz AMG CLS 53 Base 4MATIC,"29,354 mi.","$64,986",Mercedes-Benz of Walnut Creek,/vehicledetail/42cf3167-ec09-46b2-935b-0fe81d47e015/
42,2012 Volvo S60 T5,"71,389 mi.","$14,850",McGrath Lexus Chicago,/vehicledetail/a52a9e6b-372f-48fd-8963-81dc2e8f8fd3/
43,2010 Porsche Panamera 4S,"52,578 mi.","$28,999",Mercedes-Benz of Walnut Creek,/vehicledetail/caf54740-f5a0-477d-b86b-008e5fadddf1/
44,2013 Bentley Continental GT V8,"49,865 mi.","$74,950",The Luxury Collection Walnut Creek,/vehicledetail/a9c9e64b-3d2b-4498-9089-1cfdca081f2a/
45,2021 GMC Canyon AT4 w/Cloth,"6,743 mi.","$40,750",Lehmer's Concord Buick GMC,/vehicledetail/40e4fed6-c4ec-4c1f-830a-a328b89cb02f/
46,2007 Lexus IS 250 ,"208,316 mi.","$5,499",TRED Private Seller (Palo Alto),/vehicledetail/3356c334-3df8-4445-aed9-fca12351a90b/
47,2011 Lexus HS 250h Premium,"101,511 mi.","$13,999",Concord Honda,/vehicledetail/cd1c6917-2ed7-4bfa-91a6-3f701c78eed1/
48,2016 Audi S4 3.0T Premium Plus,"110,861 mi.","$21,995",Pre Owned Only of San Jose,/vehicledetail/b00aef93-15ff-4681-bbe4-ca1a91c99178/
49,2020 Genesis G90 5.0 Ultimate,"18,880 mi.","$51,994",Future Hyundai of Concord,/vehicledetail/eda0bbab-c0bb-4888-a67d-f7429306bd77/
50,2021 Acura TLX Base,"17,924 mi.","$35,990",Concord Mazda,/vehicledetail/bc5b1069-8b64-4ce0-94e3-9e08397105ad/
51,2013 BMW 650 i,"105,523 mi.","$18,998",High Class Auto Sales,/vehicledetail/038385f7-fbd8-475e-8ee8-62acdd344b89/
52,2013 BMW 650 i xDrive,"114,300 mi.","$21,500",n/a,/vehicledetail/6bfbebc1-984c-4b86-8e08-8a872148959a/
53,2012 Chevrolet Silverado 2500 Work Truck,"136,837 mi.","$22,499",Black Diamond Auto Sales Inc,/vehicledetail/47d4235a-adf2-4c48-a381-72f680777a6c/
54,2022 Ford Bronco ,414 mi.,"$51,223",Folsom Lake Kia,/vehicledetail/6c3353be-f056-4569-bed0-c724ad5051b8/
55,2017 Maserati Quattroporte S GranSport,"28,143 mi.","$41,488",Mercedes-Benz of El Dorado Hills,/vehicledetail/05e37510-a3e0-4b80-a342-16e5d8d8ec31/
56,2017 BMW M3 Base,"38,874 mi.","$53,993",Niello BMW Mini,/vehicledetail/4cd7c5df-3f56-4005-92f7-cd0480f04347/
57,2018 BMW M6 Base,"7,621 mi.","$66,996",Niello BMW Mini,/vehicledetail/130bb7b3-b760-4481-90f1-1aadef9c2ce0/
58,2018 Hyundai Accent SE,"80,200 mi.","$14,231",Car Expo Auto Center,/vehicledetail/77c9a42e-63ed-4d61-b741-2d51d4272407/
59,2016 Nissan NV200 S,"45,000 mi.","$23,997",Choice Auto ' N ' Truck,/vehicledetail/ab3593a7-99fa-42a7-84ef-d65195cac3ea/
60,2017 BMW 330 Gran Turismo i xDrive,"48,461 mi.","$26,375",Kareem Auto Sales,/vehicledetail/f31b61c0-eac8-490c-8f93-887193189488/
61,2012 Land Rover LR2 Base,"107,989 mi.","$10,985",Kareem Auto Sales,/vehicledetail/2807bb1b-ddbe-4754-b552-a46611c40e9f/
62,2019 Lexus UX 250h UX 250h,"22,606 mi.","$35,211",Lexus of Sacramento,/vehicledetail/5602c749-c4a9-40e1-a18d-592f87533592/
63,2017 Maserati Levante S,"69,361 mi.","$39,492",Prestige Imports Porsche,/vehicledetail/057b9ee7-ccd9-4031-b239-fb098fcbfaa9/
64,2021 Genesis G80 3.5T,"3,266 mi.","$50,995",Lexus of Sacramento,/vehicledetail/46bf4573-ea04-4e95-8bcb-6a05263fae6e/
65,2021 Audi RS 7 4.0T quattro,"1,915 mi.","$127,485",Lexus of Sacramento,/vehicledetail/12220798-f580-423c-b6ec-9667f736c210/
66,2014 Land Rover Range Rover 3.0L Supercharged HSE,"74,943 mi.","$33,000",Madera Ford,/vehicledetail/b4603b7d-0763-446e-95ea-f3e325c59793/
67,2005 Ford Mustang GT Deluxe,"71,945 mi.","$11,400",Madera Ford,/vehicledetail/a49260e0-8fb7-404d-b21d-36b875f03360/
68,2019 GMC Canyon Denali,"34,957 mi.","$33,568",Gill Auto Group Madera,/vehicledetail/54d09214-f524-427e-8e28-ff3967fcdb46/
69,2011 Honda Element EX,"124,705 mi.","$16,999",A-1 Auto Wholesale,/vehicledetail/f2cfa0bc-d6d0-4405-af58-a972a2b36b0d/
70,2021 Audi S7 2.9T Premium Plus,"8,386 mi.","$87,899",Niello Audi,/vehicledetail/929d7e6e-7649-48eb-9f22-ac98f7ef3c8c/
71,2021 Honda Odyssey Touring,"15,126 mi.","$45,495",Sacramento Chrysler Dodge Jeep Ram,/vehicledetail/e638486a-82bf-4658-a911-0d2b20e4d3b0/
72,2022 Mazda MX-5 Miata Grand Touring,"1,003 mi.","$33,495",Sacramento Chrysler Dodge Jeep Ram,/vehicledetail/0932ac07-3dc2-4cb8-b56f-c3040793b681/
73,2016 Cadillac Escalade Luxury,"83,338 mi.","$42,991",Auto Star Motors,/vehicledetail/dc3935f1-6cb3-439d-8ff0-9778043651b0/
74,2021 Buick Enclave Essence,"11,535 mi.","$41,212",Future Chevrolet of Sacramento,/vehicledetail/f54d7a7f-ba4f-4d44-9e95-887ae4562d5b/
75,2020 Toyota Yaris Sedan XLE,"15,208 mi.","$16,995",Downtown Toyota-Subaru of Oakland,/vehicledetail/d4971c08-bfb4-45e1-84b5-1c9b9facbd47/
76,2021 Chevrolet Tahoe Z71,"33,214 mi.","$64,990",Vacaville Buick GMC,/vehicledetail/a85d773c-6fb1-43f8-a5e0-de8de6efb298/
77,2019 Honda Insight EX,"40,120 mi.","$26,674",Shottenkirk Honda Davis,/vehicledetail/00a76126-4bc9-4ad5-8de0-61e97aeda804/
78,2019 Honda Insight EX,"24,073 mi.","$24,899",Shottenkirk Honda Davis,/vehicledetail/783e92f3-4533-44a3-aceb-069c471f703b/
79,2020 BMW 530 i xDrive,"36,685 mi.","$37,187",BMW of Fairfield,/vehicledetail/c52bd518-138f-43a1-8a5f-ca6134f8ab20/
80,2017 Lexus IS 200t Base,"49,335 mi.","$28,487",BMW of Fairfield,/vehicledetail/6ff5cbd1-c6e1-4970-a703-54e14cc81c41/
81,2018 BMW 328d xDrive,"24,690 mi.","$31,000",Sunwise Fairfield Preowned Superstore,/vehicledetail/1cf6dd26-d171-48e5-9e63-6c0c2bfca6bf/
82,2019 BMW 440 Gran Coupe i xDrive,"31,188 mi.","$34,000",Sunwise Fairfield Preowned Superstore,/vehicledetail/202f5036-f0aa-4d13-9d8e-19596f664ec2/
83,2008 Nissan 350Z Grand Touring,"75,196 mi.","$15,295",Armani Motors,/vehicledetail/61446fa7-017d-4b48-ab09-558916d2fe44/
84,2018 BMW M550 i xDrive,"34,603 mi.","$53,980",BMW of Minnetonka,/vehicledetail/2451cb61-c829-47de-a5e7-af91054e6073/
85,2011 Land Rover Range Rover Sport HSE,"138,338 mi.","$12,795",Armani Motors,/vehicledetail/720db815-fb79-43d4-8dae-ca4a1f14643d/
86,2021 Lincoln Navigator L Reserve,"1,857 mi.","$94,888",Roseville Chevrolet,/vehicledetail/8ab32a66-af83-4446-a253-9d4e257d4892/
87,2016 BMW i8 Base,"25,176 mi.","$76,995",AutoNation Subaru Roseville,/vehicledetail/4b00ffab-8be8-4591-9b45-c77b637e7c9b/
88,2014 Chrysler 300C Base,"125,405 mi.","$11,971",AutoNation Subaru Roseville,/vehicledetail/ad488528-786a-49ec-bd7a-eb073fc0918d/
89,2020 Audi SQ5 3.0T Premium,"28,057 mi.","$45,955",AutoNation Subaru Roseville,/vehicledetail/e74d456a-24d5-4081-b14a-5c61a5f72024/
90,2020 BMW M5 Base,"10,540 mi.","$89,955",AutoNation Chrysler Dodge Jeep Ram Roseville,/vehicledetail/23bf59ed-750f-4182-87c3-c0611ba0dd7b/
91,2021 Honda Odyssey EX,"17,607 mi.","$38,555",AutoNation Chrysler Dodge Jeep Ram Roseville,/vehicledetail/37a66888-fa1f-4216-8a5d-baacd1780d97/
92,2013 BMW M5 Base,"99,423 mi.","$28,977",BMW of Roseville,/vehicledetail/126e135b-4635-4407-939f-c57b99823298/
93,2016 BMW M235 i,"43,667 mi.","$30,995",BMW of Roseville,/vehicledetail/64912fa1-e720-4f86-998a-8cea41c28c7f/
94,2022 Toyota GR86 Base,"3,658 mi.","$35,788",BMW of Roseville,/vehicledetail/e2b1955c-8037-4fa7-b24a-a357169bf04f/
95,2022 BMW i4 Gran Coupe M50,"2,937 mi.",Not Priced,BMW of Roseville,/vehicledetail/176042be-b532-42b4-977d-5257ba0bc508/
96,2017 Toyota Sequoia SR5,"91,908 mi.","$29,988",Roseville Toyota,/vehicledetail/75789142-2628-4e96-af50-9dbf3ab425ba/
97,2020 Volkswagen Golf GTI 2.0T S,"22,203 mi.","$25,977",Roseville Toyota,/vehicledetail/a952f9b2-aa9b-4212-92e1-8303cbc862fb/
98,2022 Nissan Pathfinder SV,"2,043 mi.","$42,997",Future Nissan of Roseville,/vehicledetail/e63dc8e4-0c57-416c-8da5-2bc5ccb6e65c/
99,2018 Lincoln Navigator Premiere,"43,958 mi.","$51,998",CarMax Sacramento/Roseville - Now offering Curbside Pickup and Home Delivery,/vehicledetail/387cf4a5-54b6-4844-a30f-4987e9a44e28/
100,2018 Kia Stinger Base,"73,208 mi.","$23,987",Salinas Honda,/vehicledetail/5ab4b5e1-3a7b-4e8c-b473-50005403f0d4/
101,2003 Toyota Sequoia SR5,"95,907 mi.","$11,995",Hayes Auto Sales,/vehicledetail/f7ca20d1-ec4b-4167-a1e0-df349ed51533/
102,2013 Nissan Quest SL,"80,230 mi.","$14,650",Shift Bay Area,/vehicledetail/86a7731f-4b92-4037-ae08-f745d7c1a9e1/
103,2016 BMW X5 M Base,"71,047 mi.","$41,950",Shift Bay Area,/vehicledetail/e88701b1-5b8d-434f-896a-f0a7e50e79b8/
104,2021 Audi A6 allroad 55 quattro Premium Plus,"9,197 mi.","$64,950",Shift Bay Area,/vehicledetail/979910be-61b7-4e7c-8271-9d2613254149/
105,2019 Lexus GS 350 F Sport,"36,911 mi.","$39,999",Newport Lexus,/vehicledetail/1b77fc18-2c00-42e8-b681-20fa8129fe4f/
106,2020 Audi SQ7 4.0T,"12,508 mi.","$77,500",San Francisco Audi Volkswagen Volvo Cars,/vehicledetail/ca7f91bb-0e06-4425-a7de-e40c70afd62b/
107,2017 Kia Optima Plug-In Hybrid EX,"50,656 mi.","$23,500",Hoblit Chrysler Dodge Jeep RAM,/vehicledetail/87b850c8-67af-47d2-aa3b-dea8a3567ef6/
108,2002 Chevrolet Camaro Z28,"30,081 mi.","$27,991",Stewart Chevrolet,/vehicledetail/acf0a76b-f753-4c1a-8e9e-1ed797049191/
109,1932 Ford Coupe CUSTOM,"3,618 mi.","$36,990",Jimmy Vasser Chevrolet of Napa,/vehicledetail/aadd1f4b-8ce4-460c-8820-a5b58316c854/
110,2022 Audi e-tron GT Premium Plus,"3,057 mi.","$101,961",Audi Fresno,/vehicledetail/6258772b-93e6-4e3c-81b8-408a4129b85d/
111,2019 Honda Insight EX,"79,461 mi.","$24,333",Audi Fresno,/vehicledetail/893731e9-97d8-43e5-a6dc-b5dfefbdab67/
112,2014 Toyota RAV4 Limited,"51,146 mi.","$21,488",Mercedes-Benz of Fresno,/vehicledetail/ca14c2bb-e03b-4db3-9a9c-8f7991779db3/
113,2021 Mazda Mazda3 FWD w/Select Package,"25,380 mi.","$25,436",Fresno Mitsubishi,/vehicledetail/2bfb73cc-4665-4008-806a-f67cda2483bf/
114,2021 Nissan Maxima SR,"25,185 mi.","$36,895",Lithia Hyundai of Fresno,/vehicledetail/bc157260-efe2-4694-a6cb-fc40dd416f7c/
115,2014 Maserati Quattroporte S Q4,"54,967 mi.","$25,990",INFINITI of Marin,/vehicledetail/1752a01e-4455-4946-982c-b4f7c6c554fb/
116,2020 BMW X7 M50i,"19,791 mi.","$81,993",BMW of Monterey,/vehicledetail/86e4ecd1-ab36-4c50-95f9-e487dbfd78a6/
117,2021 Volvo XC90 Recharge Plug-In Hybrid T8 Inscription 6 Passenger,"11,199 mi.","$69,992",BMW of Monterey,/vehicledetail/e4a3714f-6fe8-4701-b3c8-f346e100ee10/
118,2018 GMC Acadia SLT-1,"8,973 mi.","$29,990",BMW of Monterey,/vehicledetail/b3281f27-bc46-485b-946e-06a51bc333fd/
119,2020 Land Rover Range Rover Base,"15,805 mi.","$84,000",Jaguar Land Rover Volvo of Monterey,/vehicledetail/6c5f8dde-4c94-4783-b7e1-0793b26a77e7/
120,2019 Audi A8 L 55,"28,687 mi.","$52,818",Audi of Monterey Peninsula,/vehicledetail/4d26943e-1c8e-4c54-8ab6-6a767d315dd8/
121,2022 Kia Seltos EX,"7,168 mi.","$33,500",Future Kia of Clovis,/vehicledetail/d65aba33-1cdf-487e-8b01-254e2f4651ce/
122,2018 BMW M4 Base,"46,040 mi.","$52,980",Haron Jaguar Land Rover,/vehicledetail/c3002ef6-bf27-45a0-a14a-db2b11137b1d/
123,2010 Toyota Tacoma Double Cab,"184,397 mi.","$15,000",n/a,/vehicledetail/48888c97-6c85-425e-8690-98b7e6b311af/
124,2022 Chrysler Pacifica Limited,"12,100 mi.","$46,520",Mercedes-Benz of Santa Rosa,/vehicledetail/d25156ff-821e-40b6-a8fa-e41a9d3c8460/
125,2021 Mercedes-Benz GLE 450 GLE 450,"20,275 mi.","$67,643",Freeman Lexus,/vehicledetail/168cddca-50d6-4a2c-8cf7-7d858cd37b2e/
126,2020 Nissan Frontier SV,"23,007 mi.","$30,500",Rickenbaugh INFINITI,/vehicledetail/082c3751-bb36-4dce-83a5-d74f538b9c9a/
