,Name,Mileage,Price,Dealer Name,Link
127,2019 Honda Pilot Touring 8-Passenger,"41,679 mi.","$35,998",CarMax Santa Rosa - Now offering Curbside Pickup and Home Delivery,/vehicledetail/f23423b0-e9d1-4483-8039-fb8102057fca/
128,2020 Ford Expedition Limited,"73,129 mi.","$42,500",Manly Hyundai,/vehicledetail/e6d1ae22-a57d-4d50-b941-442ae0085687/
129,2017 Chevrolet Bolt EV LT,"40,059 mi.","$23,977",Ed Dena's Auto Center,/vehicledetail/bfc50f04-4db8-4aeb-b395-1ef9627059d5/
130,2019 Kia Stinger Base,"28,033 mi.","$30,590",Carvana-Touchless Delivery To Your Home-Reno,/vehicledetail/7521c9a5-89ea-4850-94c2-c9d502b70172/
131,2019 Kia Stinger GT,"36,892 mi.","$36,476",Keller Auto Group,/vehicledetail/4c47ba11-8c85-4568-8e4d-7e7ae012e241/
132,2015 Ford F-350 Lariat Super Duty,"18,114 mi.","$53,995",Carson City Toyota,/vehicledetail/69331102-bca8-4847-8b72-91586c7b9ef2/
133,2016 Jeep Grand Cherokee Limited,"119,236 mi.","$21,499",Stone Chevrolet Buick GMC,/vehicledetail/11f36758-336a-4a7f-9164-8553cce422a1/
134,2019 GMC Canyon SLE,"29,472 mi.","$32,279",Stone Chevrolet Buick GMC,/vehicledetail/28cbab04-5e88-4d0f-b449-6e5f8fd81f2b/
135,2017 Genesis G80 3.8,"50,390 mi.","$26,990",Carvana-Touchless Delivery To Your Home-Reno,/vehicledetail/a98f1a58-df15-4336-9320-d73e03895a68/
136,2015 Toyota Sequoia Platinum,"78,481 mi.","$40,998",CarMax Reno - Now offering Curbside Pickup,/vehicledetail/52c2c781-2eae-46f8-b781-f03d4aea215c/
137,2021 Toyota RAV4 Hybrid XSE,"9,640 mi.","$50,998",CarMax Reno - Now offering Curbside Pickup,/vehicledetail/f5b76800-48f4-4b92-936e-fac65d5265bb/
138,2020 Jeep Wrangler Unlimited Rubicon,"32,600 mi.","$45,998",CarMax Reno - Now offering Curbside Pickup,/vehicledetail/4d89c410-98f3-4c19-b094-44411194ab51/
139,2021 Mazda CX-5 Touring,"49,224 mi.","$25,995",Tom Dolan's Reno KIA,/vehicledetail/2ad341b3-bb57-453b-9a20-4c9f7ee3fc40/
140,2019 Lexus LX 570 ,"33,410 mi.","$73,997",Dolan Lexus,/vehicledetail/3fdf1d3c-e7bb-436c-b968-f8dfd1e3b891/
141,2018 Jaguar E-PACE S,"18,524 mi.","$35,497",Dolan Lexus,/vehicledetail/72babd04-aec9-4a52-9eb5-b87d448769c7/
142,2019 GMC Canyon All Terrain,"24,232 mi.","$38,989",Corwin Ford Reno,/vehicledetail/4efca865-2f08-447d-a0b2-3a867219f524/
143,2021 Hyundai Palisade Calligraphy,"24,278 mi.","$48,965",Corwin Ford Reno,/vehicledetail/dc4051c7-195c-4f0d-83c0-c5c860df13b0/
144,2018 Toyota Corolla iM Base,"24,314 mi.","$22,198",Corwin Ford Reno,/vehicledetail/95364eda-3306-4b2e-a874-22dc35c44df9/
145,2020 Tesla Model X Long Range,"29,465 mi.","$90,204",Corwin Ford Reno,/vehicledetail/47a94134-9cfa-466f-8f07-055226b02145/
146,2022 Audi SQ5 3.0T Premium,"10,227 mi.","$58,067",Corwin Ford Reno,/vehicledetail/d76e7a0b-a641-4a18-9452-565052afc278/
147,2018 Volkswagen Atlas 3.6L SE w/Technology,"56,559 mi.","$28,911",Emich VW of Boulder,/vehicledetail/0a8a9377-c544-4758-8eff-116c869cbfc2/
148,2022 Buick Enclave Premium,"2,929 mi.","$48,989",Corwin Ford Reno,/vehicledetail/4145c7b1-230d-4a58-bd62-5cd6b4ff097e/
149,2020 Ford F-350 Lariat Super Duty,"15,126 mi.","$78,940",Corwin Ford Reno,/vehicledetail/3325c8b7-2310-4884-905f-9564918f1ed9/
150,2019 Mitsubishi Outlander SE,"45,814 mi.","$23,990",Budget Motors,/vehicledetail/dcfe00b2-c6ee-4bf2-bc8d-dcdb1287c64d/
151,2019 Volkswagen Passat 2.0T SE R-Line,"41,848 mi.","$24,895",Lithia Hyundai of Reno,/vehicledetail/8e09c7b3-ab71-4c56-9299-4937d7230089/
152,2015 Hyundai Genesis 3.8,"34,664 mi.","$21,995",Lithia Hyundai of Reno,/vehicledetail/9b30dfa9-d5a6-4b05-949d-22868c9433fa/
153,2020 BMW 230 i,"45,191 mi.","$27,995",Lithia Reno Subaru,/vehicledetail/b7cfdf9b-35b2-4c5e-a1fd-dd4f95b0956c/
154,2022 Acura ILX Premium & A-SPEC Packages,"4,193 mi.","$33,777",Dolan Toyota,/vehicledetail/59a5b68d-b541-4154-bb64-09ad3c304d18/
155,2021 Volkswagen Atlas Cross Sport 2.0T SEL,"15,055 mi.","$38,491",Dolan Toyota,/vehicledetail/511473ad-51dd-4a15-aba2-80816691732f/
156,2022 Jeep Compass Limited,"7,546 mi.","$33,280",Lithia Chrysler Jeep of Reno,/vehicledetail/b5d443dc-b69e-4e80-89e7-1abb46760349/
157,2018 Land Rover Range Rover Sport HSE Dynamic,"38,863 mi.","$69,987",Lithia Chrysler Jeep of Reno,/vehicledetail/18a6a95a-359e-4cbd-99a8-e15e7e604bc6/
158,2015 Buick Enclave Premium,"44,062 mi.","$23,991",Corwin Reno Buick GMC Cadillac,/vehicledetail/340ca3d1-91a7-4801-9cfd-10ac74d09808/
159,2015 Nissan Pathfinder Platinum,"133,981 mi.","$16,500",United Nissan Reno,/vehicledetail/2db7d04b-a1ca-41fb-b9b9-78b34ea01033/
160,2020 INFINITI QX80 Luxe,"38,263 mi.","$49,500",United Nissan Reno,/vehicledetail/75ba0822-daa8-4a23-ade2-db874b9ee72f/
161,2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium R-Line,"5,225 mi.","$46,939",Bill Pearce Courtesy Honda,/vehicledetail/550acf0f-bf96-478b-8ffc-f3efd9d52709/
162,2018 Ford Transit Connect XL,"71,223 mi.","$23,499",Bill Pearce Courtesy Honda,/vehicledetail/dd8a45eb-3b9a-400e-a571-93f13754eb16/
163,2015 RAM 2500 Laramie,"70,754 mi.","$42,491",Dolan Dodge Ram FIAT,/vehicledetail/2af939e3-ef90-494b-b265-7c2a033976c9/
164,2019 Ford Transit-250 148 WB Medium Roof Cargo,"47,341 mi.","$43,998",Paso Robles Chevrolet,/vehicledetail/aa31b18d-8aa1-42bb-b4e8-388e35498d34/
165,2008 Cadillac Escalade EXT Base,"53,190 mi.","$33,000",Porterville Ford,/vehicledetail/3c7cde28-76ce-4a01-96b3-ee7d9d0d8cdf/
166,2018 GMC Sierra 2500 Denali,"64,758 mi.","$52,997",Ken Fowler Subaru,/vehicledetail/dc77ea07-5126-43bc-b3b9-d76b271d294f/
167,2017 Chevrolet Silverado 2500 High Country,"117,465 mi.","$46,987",Dolan Fernley Chrysler Jeep Dodge Ram,/vehicledetail/42e7ba05-ff23-411a-bd54-f39806ad6fa6/
168,2022 GMC Yukon AT4,"5,062 mi.","$82,199",Toyota of Lincoln Park,/vehicledetail/153ccdd9-cf0a-4c0f-875e-07020d6e70cd/
169,2021 Hyundai Palisade Limited,"22,231 mi.","$45,495",Hyundai San Luis Obispo,/vehicledetail/08b3193c-b3ec-4f6f-9a44-52a5a5c9d91d/
170,2018 BMW X5 eDrive xDrive40e,"42,918 mi.","$40,594",BMW Of San Luis Obispo,/vehicledetail/66796e66-53ff-40a5-8cac-23d26b1ac89b/
171,2022 BMW i4 Gran Coupe eDrive40,"4,910 mi.","$65,999",BMW Of San Luis Obispo,/vehicledetail/b232a28d-db4f-4bf3-895e-471b2fa49825/
172,2021 Volkswagen Tiguan 2.0T SE,"35,972 mi.","$25,980",Toyota of San Luis Obispo,/vehicledetail/14cb6fe6-f3d3-4f47-95a9-4a0146ba3d37/
173,2021 Ford Shelby GT500 Base,172 mi.,"$99,995",Corning Ford,/vehicledetail/3575559d-1048-4cf8-92af-88ac6089c7c4/
174,2004 GMC Yukon SLE,"123,836 mi.","$10,995",Advanced Auto Wholesale II,/vehicledetail/40148cbb-fd30-4dfe-b2af-6ce8d0fd2275/
175,2022 Hyundai IONIQ 5 SEL,"4,478 mi.","$54,000",n/a,/vehicledetail/72df2d33-3f63-45bd-918b-afa688383dcc/
176,2021 Kia K5 LXS,"44,141 mi.","$22,999",Winn Hyundai of Santa Maria,/vehicledetail/22f5d049-4aa8-4502-b9cc-805c4e5a2ba4/
177,2012 Mazda Mazda3 i Touring,"168,731 mi.","$6,999",Singh Motors,/vehicledetail/a5d6f67e-0fbf-413a-99c1-0918d3415072/
178,2019 Mazda Mazda3 FWD,"19,053 mi.","$24,789",Bakersfield Mazda,/vehicledetail/81af12f9-d96d-4079-9712-944ee5654096/
179,2018 Hyundai Tucson Limited,"75,495 mi.","$23,995",Bakersfield Hyundai,/vehicledetail/fe562f96-5319-4eda-aaf8-d20570b5b602/
180,2020 Ford Transit-250 Base,"23,805 mi.","$47,899",Haddad Dodge Ram,/vehicledetail/7c732539-e289-40ae-bfb9-d6c3cbb69a18/
181,2020 BMW X2 xDrive28i,"33,762 mi.","$38,990",BMW of Bakersfield,/vehicledetail/6ce48628-3e0d-4da4-9cb9-c4d00d241ceb/
182,2021 BMW X2 xDrive28i,"14,142 mi.","$43,990",BMW of Bakersfield,/vehicledetail/688f9677-dd1f-46ed-afca-1380484afffb/
183,2015 Lexus IS 250 ,"60,933 mi.","$25,991",Mercedes-Benz of Bakersfield,/vehicledetail/0d3d6f9c-ced6-40bd-b362-e980591e3183/
184,2022 Chevrolet Tahoe Premier,"7,893 mi.","$77,558",Audi Porsche Volkswagen Bakersfield,/vehicledetail/6159669b-d238-409f-92d8-7346ac5c2721/
185,2021 Audi Q5 Prestige,"8,506 mi.","$57,811",Audi Porsche Volkswagen Bakersfield,/vehicledetail/73e06aaa-8525-4f58-bd5f-d7b365138e88/
186,2019 Chevrolet Traverse High Country,"5,026 mi.","$48,998",CarMax Bakersfield - Now offering Curbside Pickup and Home Delivery,/vehicledetail/64412d2c-8894-4790-af03-69f5c42280b7/
187,2013 Nissan Xterra S,"124,333 mi.","$15,998",CarMax Bakersfield - Now offering Curbside Pickup and Home Delivery,/vehicledetail/b878bbc1-af7e-4d80-a420-21013b5c55ff/
188,2017 Genesis G90 3.3T Premium,"62,930 mi.","$29,998",CarMax Bakersfield - Now offering Curbside Pickup and Home Delivery,/vehicledetail/5156e5d1-8c78-425a-af9f-f56214a2b30b/
189,2018 Lexus LC 500 Base,"22,416 mi.","$75,555",Newport Lexus,/vehicledetail/53252f35-bb82-4d6d-865f-ef1e5026c55a/
190,2015 Subaru Forester 2.5i Limited,"76,370 mi.","$18,995",Redding Car and Truck Center,/vehicledetail/c12d98ae-8a7f-4017-97d8-a8afefca01e3/
191,2017 Mazda Mazda3 Grand Touring,"48,084 mi.","$20,495",Lithia Toyota of Redding,/vehicledetail/122ce2ef-62e6-43b7-82e5-22e5f8d8b948/
192,2021 Chrysler Pacifica Pinnacle,"17,063 mi.","$48,500",Chrysler Dodge Jeep Ram FIAT Santa Barbara,/vehicledetail/97d44189-dc09-4527-8522-81f76dca93f1/
193,2017 Lincoln MKZ Hybrid Reserve,"54,745 mi.","$28,900","Land Rover Rocklin - Delivery from Rocklin, California (For Redding)",/vehicledetail/d5dd3d58-c7ec-4017-83b6-eb9f54961ab7/
194,2021 Genesis GV80 3.5T,"10,674 mi.","$66,900","Land Rover Rocklin - Delivery from Rocklin, California (For Redding)",/vehicledetail/251ecd0e-4d91-4d41-a31d-5d0ffad07fe9/
195,2018 Tesla Model S P100D,"35,899 mi.","$78,000",Milpas Motors,/vehicledetail/1cd1dddc-bfa3-43bd-a2bf-0c04eb782ba9/
196,2021 Audi RS 5 2.9T,"15,351 mi.","$75,485",Valencia BMW,/vehicledetail/47dcbcdb-ec40-48b2-b9ab-2eaff128ed84/
197,2018 BMW 650 Gran Coupe i,"33,081 mi.","$47,998",Valencia BMW,/vehicledetail/d7fcd72d-3482-4eec-a13c-291ed88ffdc2/
198,2021 GMC Acadia Denali,"12,493 mi.","$44,092",AutoNation Ford Valencia,/vehicledetail/50dd3b6e-c8dc-478e-bbf1-9fa64fdc9db3/
199,2000 Lexus LS 400 Base (A5),"31,095 mi.","$39,990",SoCal Auto Group,/vehicledetail/bfa30603-4f45-4646-9e31-c98d1879dacc/
200,2019 Lincoln Nautilus Reserve,"26,794 mi.","$37,750",Galpin Lincoln Volvo,/vehicledetail/244fd660-7d0a-4381-848d-b593c4ce7b5d/
201,2012 Cadillac Escalade Hybrid Base,"132,105 mi.","$19,885",Car Search USA,/vehicledetail/bf9fc8d1-875d-49d9-8bd3-a5c7a1cdd037/
202,2018 Maserati Ghibli S,"59,243 mi.","$32,748",Major Motor Cars,/vehicledetail/26b08547-db1a-458c-92b5-cbc593be953a/
203,2021 Tesla Model 3 Standard Range Plus,"9,345 mi.","$47,510",TRED Private Seller (West LA),/vehicledetail/fea2a787-d810-4c81-95e9-abf24b81cce3/
204,2022 Lexus NX 350 Premium,"3,475 mi.","$48,698",Lexus Santa Monica,/vehicledetail/a812367e-44af-419e-8f58-5241008edcc5/
205,2021 Mercedes-Benz AMG E 63 S,"2,756 mi.","$155,900",Tactical Fleet,/vehicledetail/68fe0859-50b0-4154-9c1d-f9859e1304dd/
206,2023 Land Rover Range Rover P400 SE SWB,459 mi.,"$161,000",TRED Private Seller (Downtown LA),/vehicledetail/23858add-9668-4601-ba93-daa057c1085c/
207,2019 Audi TT 2.0T,"24,038 mi.","$42,898",Porsche Downtown LA,/vehicledetail/1b7199e7-1699-4e03-8fe0-821eb9485c23/
208,2010 Porsche Cayenne GTS,"76,575 mi.","$18,999",CAR LUX,/vehicledetail/0f1db9fc-9913-48d1-9c0c-f971ea40f86f/
209,2014 Porsche Cayenne Hybrid S,"79,977 mi.","$24,999",CAR LUX,/vehicledetail/9586eda7-a7ef-4aad-bc10-a5c00598ac5d/
210,2022 Chevrolet Silverado 1500 RST,"9,289 mi.","$56,885",Prestige Chrysler Dodge Jeep RAM,/vehicledetail/6e11602e-d034-4d0f-8b43-d78a1e61bad4/
211,2014 Porsche Cayenne Hybrid S,"79,977 mi.","$24,999",CAR LUX,/vehicledetail/9586eda7-a7ef-4aad-bc10-a5c00598ac5d/
212,2022 Rivian R1S Launch Edition,926 mi.,"$148,888",Platinum Autohaus,/vehicledetail/7f511c01-846e-467a-8825-7dfa7af80f1b/
213,2021 Cadillac Escalade Sport,"19,603 mi.","$102,998",CarMax Torrance - Now offering Curbside Pickup and Home Delivery,/vehicledetail/13a3daff-5699-4729-8abd-fd0510c6f003/
214,2010 Dodge Challenger SRT8,"14,352 mi.","$25,950",Shift Los Angeles,/vehicledetail/149873b2-312b-4463-b2c4-f06a5f13b46f/
215,2021 Volvo XC40 T4 R-Design,"14,217 mi.","$40,999",Volvo Cars South Bay,/vehicledetail/39cccac4-a0b4-485e-8ae1-83d1558f4607/
216,2018 Lexus LC 500 Base,"5,743 mi.","$76,644",Downey Hyundai,/vehicledetail/ce5a6b39-451a-40e8-bd84-57253e4f4466/
217,2015 Rolls-Royce Wraith ,"20,486 mi.","$199,787",Downey Hyundai,/vehicledetail/f7c8e5bc-6d99-4190-8da6-0b2bf1d48082/
218,2014 Chevrolet SS Base,"75,025 mi.","$32,995",Autobahn Luxury Motors,/vehicledetail/a488b157-8753-4602-956d-9cd904b553f9/
219,2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,"42,379 mi.","$41,498",Mercedes-Benz of South Bay,/vehicledetail/5cf5dcd3-cc0d-4375-9763-7b8251d95087/
220,2019 Lincoln Nautilus Reserve,"35,274 mi.","$35,134",Puente Hills Mitsubishi,/vehicledetail/14b11530-7489-4bdf-916c-5cf95dd3b97c/
221,2021 Toyota 4Runner TRD Off Road Premium,"24,805 mi.","$42,500",STG Auto Group of Bellflower,/vehicledetail/6ed57b57-125e-4322-86ad-a27683a7c78f/
222,2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,"59,138 mi.","$39,995",AutoNation Toyota Cerritos,/vehicledetail/4ce15021-9412-4973-90e2-d2d8f6b4e570/
223,2015 Toyota Avalon Hybrid Limited,"130,045 mi.","$17,985",Regency USA Inc,/vehicledetail/21e63fb6-d825-47e3-b5ee-7f06722ab7bd/
224,2011 Chevrolet Tahoe Hybrid Base,"154,287 mi.","$12,555",KarGenie,/vehicledetail/e29883c2-89d5-40cd-8f36-1d4346f98ba4/
225,2022 Mercedes-Benz AMG GLA 45 Base,"5,668 mi.","$59,416",Westcoast Auto Sales,/vehicledetail/69c288d5-f24e-413a-8957-bb22f5ac3626/
226,2016 Cadillac ATS-V Base,"71,829 mi.","$34,999",California Motors Direct - Montclair,/vehicledetail/5d856b23-dc36-4be9-a508-38aba54b9eb0/
227,2019 Audi A4 allroad 2.0T Premium,"37,518 mi.","$38,087",STG Auto Group of Montclair,/vehicledetail/f1f49a39-d3a2-4dcf-89cb-774c89d8c529/
228,2021 Mercedes-Benz AMG GLE 63 S-Model 4MATIC,"14,524 mi.","$110,345",STG Auto Group of Montclair,/vehicledetail/e33e005a-715b-4dc4-a7d9-1cb3504102fd/
229,2020 Volvo XC60 T5 Inscription,"29,774 mi.","$39,673",STG Auto Group of Montclair,/vehicledetail/bb5f4a9c-12a3-489f-b19d-a22cb20b469c/
230,2020 Lexus IS 300 Base,"41,125 mi.","$30,984",STG Auto Group of Montclair,/vehicledetail/7eb42287-fa64-41b8-a723-b6f99f01667a/
231,2020 Honda Passport Touring,"35,315 mi.","$34,600",Planet Honda,/vehicledetail/16e6dd98-0f96-4eae-b8ca-aeca3fa789b4/
232,2013 MINI Coupe Cooper S,"86,290 mi.","$14,998",CarMax Buena Park - Now offering Curbside Pickup and Home Delivery,/vehicledetail/4e001832-860c-4b06-9390-a96f5be08deb/
233,2016 Buick Encore Leather,"70,722 mi.","$18,967",Klamath Falls Subaru,/vehicledetail/81b8a8ef-b3f2-4727-850a-d4c00421c553/
234,2017 Chevrolet Colorado LT,"76,004 mi.","$25,995",Lithia Chrysler Jeep Dodge RAM of Klamath Falls,/vehicledetail/6ee3a0df-b353-4c86-8145-a5aac398d9ba/
235,2014 Ford Expedition EL XL,"95,615 mi.","$17,995",Lithia Chrysler Jeep Dodge RAM of Klamath Falls,/vehicledetail/771e13da-ce6a-41f7-8179-8deb633675e9/
236,2021 Hyundai Palisade SEL,"31,410 mi.","$41,994",Klamath Falls Toyota,/vehicledetail/b01dc0c8-1928-40e0-8a44-0112f650ad5f/
237,2018 MINI Countryman Cooper S ALL4,"37,962 mi.","$32,977",Klamath Falls Toyota,/vehicledetail/55b3bb12-f825-4c77-a223-661999da8d5f/
238,2021 Toyota Sienna LE,"23,880 mi.","$40,477",Klamath Falls Toyota,/vehicledetail/60822065-665c-4ff9-91ed-0ba7524ce1cf/
239,1992 BMW 318 i,"92,520 mi.","$11,995",Zee Motors Inc,/vehicledetail/a1643b71-517b-4a66-8b7d-8e437a25273f/
240,2003 Acura RSX Type S,"131,000 mi.","$13,995",Zee Motors Inc,/vehicledetail/4620a18b-35b5-423b-8517-9976ba26b777/
241,2022 Hyundai Elantra N Base,"3,946 mi.","$36,333",STG Auto Group - Garden Grove,/vehicledetail/3a877c63-891e-4b1c-be55-c1fd61252114/
242,2020 Ford F-350 XL,"31,886 mi.","$54,658",Huntington Beach Chrysler Dodge Jeep Ram,/vehicledetail/54340d0f-0213-4f71-a85c-3afdaabb8a77/
243,2017 GMC Sierra 1500 SLT,"60,511 mi.","$42,199",IE Auto Exchange,/vehicledetail/c28476e3-de1d-418d-952e-49c32c6ad160/
244,2001 Lexus GS 300 Base,"231,450 mi.","$5,900",n/a,/vehicledetail/354ae5f6-9a62-4cff-b253-7f9c4475ba0b/
245,2015 RAM 3500 Tradesman,"125,828 mi.","$40,014",Moss Bros. Chrysler Dodge Jeep San Bernardino,/vehicledetail/ea8db3a8-d5a2-4f70-938b-38211b79ee73/
246,2023 Genesis GV70 2.5T,250 mi.,"$46,911",Genesis of Corona,/vehicledetail/73b474c6-1e8c-4807-a144-faffb2971279/
247,2018 Ford Transit-150 Base,"89,707 mi.","$34,995",Norco Truck Center,/vehicledetail/ddb26e99-20b2-4d6d-bfe5-19bbab831923/
248,2022 Toyota Venza XLE,"25,883 mi.","$41,825",Toyota of San Bernardino,/vehicledetail/7089eb7e-83be-467c-80a6-08dc98ad773e/
249,2007 Chevrolet Express 1500 ,"19,415 mi.","$19,995",Best Auto Sales Inc.,/vehicledetail/608d4b18-0cee-442e-9520-b08700941dcb/
250,2004 Chevrolet Trailblazer LS,"58,031 mi.","$9,900",House of Cars Empire,/vehicledetail/93eaca11-4b80-4025-b5d4-3f8b154df6c3/
251,2022 Cadillac CT5-V V-Series Blackwing,"3,519 mi.","$124,990",Suburban Buick GMC Cadillac,/vehicledetail/78ec520c-8f6e-421c-a02f-05afa98f0dea/
